Película,Año,Timestamp,Duración (seg.),Escena,Personaje,Género,Edad,Protagonismo,Narrativa,Causa,Emoción,Reacción social,Responsabilidad atribuida
Castillo en el cielo,1886,1:33:03,1,Sheeta presencia el abandono que vivieron los robots de Laputa ,Sheeta,Femenino,Joven,Protagonista,Desarrollo,Dolor psicológico,Pena ,Ignorado,Destino/fuerzas
Castillo en el cielo,1886,1:34:06,1,Sheeta se emociona al darse cuenta que el robot esta acompañado,Sheeta,Femenino,Joven,Protagonista,Desarrollo,Evento positivo,Felicidad,Ignorado,Destino/fuerzas
Mi Vecino Totoro,1988,0:43:19,5,"Mei extraña a Satsuki y al abrazarlo, llora ",Mei,Femenino,Infante,Protagonista,Desarrollo,Dolor psicológico,Tristeza,Comprensión,Destino/fuerzas
Mi Vecino Totoro,1988,1:08:24,26,Mei se frustra porque su mamá no va a poder visitar la nueva casa por ordenes del hospital y se desquita con Satsuki ,Mei,Femenino,Infante,Protagonista ,Desarrollo,Dolor psicológico,Tristeza,Palabras de apoyo,Conocido
Mi Vecino Totoro,1988,1:09:49,21,Satsuki llora por la salud de su madre y piens que sus padres la abandonarán ,Satsuki,Femenino,Infante,Protagonista ,Desarrollo,Dolor psicológico,Tristeza,Palabras de apoyo,Conocido
Mi Vecino Totoro,1988,1:18:02,18,Satsuki busca ayuda con totoro para encontrar a Mei ,Satsuki,Femenino,Infante,Protagonista ,Climax,Dolor psicológico,Desesperación,Confort físico,Destino/fuerzas
Mi Vecino Totoro,1988,1:21:15,22,Mei escucha a la distancia la voz de Satsuki y por fin se reencuentran después del extravío de Mei ,Mei,Femenino,Infante,Protagonista ,Climax,Evento positivo,Desesperación,Confort físico,Familiar/pariente
Kiki: Entregas a domicilio,1989,0:21:46,7,A un bebé se le pierde su chupete y Kiki vuela para entregarselo.,Bebé,Masculino,Bebé,Incidental,Inicio,Dolor psicológico,Malestar,Comprensión,El mismo
Kiki: Entregas a domicilio,1989,1:20:21,3,Se da cuenta de que sus podderes ya no funcionan.,Kiki,Femenino,Infante,Protagonista,Desarrollo,Pérdida,Tristeza,No aplica,El mismo
Kiki: Entregas a domicilio,1989,1:31:05,11,Abuelas le regalan el pastel a Kiki.,Kiki,Femenino,Infante,Protagonista,Desarrollo,Evento positivo,Felicidad,Amistoso/cálido,Conocidos
Kiki: Entregas a domicilio,1989,1:35:20,49,Intenta volar para salvar a Tombo.,Kiki,Femenino,Infante,Protagonista,Climax,Sufrimiento ajeno,Urgencia,Comprensión,Amigo cercano
Kiki: Entregas a domicilio,1989,1:39:20,4,Kiki salva a Tombo.,Osono,Femenino,Adulto,Secundario,Desenlace,Evento positivo,Felicidad,Comprensión,Amigo cercano
Porco Rosso,1992,1:03:47,3,Fio salva a Porco Rosso de la furía de los piratas,Fio,Femenino,Joven,Secundario,Desarrollo,Dolor físico,Felicidad,No sabe como comportar,Amigo cercano
Porco Rosso,1992,1:25:47,10,Fio celebra el triunfo de Porco,Fio,Femenino,Joven,Secundario,Climax,Evento positivo ,Felicidad,Confort físico,Amigo cercano 
La princesa Mononoke,1997,0:11:11,11,Hermana llora porque Ashitaka se va de la aldea,Kaya,Femenino,Joven,Incidental,Inicio,Pérdida,Tristeza,Palabras de apoyo,Familiar/pariente
La princesa Mononoke,1997,1:33:37,11,Hombre llora al lado de los cadáveres de sus amigos,Hombre,Masculino,Adulto,Incidental,Climax,Pérdida,Tristeza,Ignorado,Extraños
La princesa Mononoke,1997,1:35:06,12,Explica que vio a la princesa Mononoke en el ataque,Hombre,Masculino,Adulto,Incidental,Climax,Pérdida,Tristeza,Confort físico,Extraños
El viaje de Chihiro,2001,0:11:59,20,Chihiro llora y se encuentra con Haku.,Chihiro,Femenino,Infante,Protagonista,Inicio,Pérdida y dolor psicológico,Miedo,Confort físico,Familiar/pariente
El viaje de Chihiro,2001,0:43:00,18,Chihiro esta mareada en el trabajo.,Chihiro,Femenino,Infante,Protagonista,Desarrollo,Dolor psicológico y dolor físico,Malestar,Palabras de apoyo,El mismo
El viaje de Chihiro,2001,0:48:10,9,Visita a sus papás convertidos en cerdos.,Chihiro,Femenino,Infante,Protagonista,Desarrollo,Sufrimiento ajeno,Tristeza,No aplica,Familiar/pariente
El viaje de Chihiro,2001,0:49:46,44,Llora mientras come.,Chihiro,Femenino,Infante,Protagonista,Desarrollo,Dolor psicológico,Tristeza,Palabras de apoyo,Familiar/pariente
El viaje de Chihiro,2001,1:21:28,8,Chihiro le muestra sangre a Bo,Bo,Masculino,Infante,Secundario,Desarrollo,Dolor psicológico,Malestar,Ignorado,Extraños
El viaje de Chihiro,2001,1:22:50,22,Bo vuelve a llorar,Bo,Masculino,Infante,Secundario,Desarrollo,Dolor psicológico,Malestar,Ignorado,Extraños
El viaje de Chihiro,2001,1:50:50,7,Llora con la gemela de Yubaba.,Chihiro,Protagonista,Infante,Femenino ,Clímax,Dolor psicológico,Preocupación,Amistoso/cálido,Conocidos
El viaje de Chihiro,2001,1:54:26,30,Chihiro recuerda el nombre real de Haku.,Chihiro,Protagonista,Infante,Femenino ,Final,Evento positivo,Epifanía,Amistoso/cálido,Destino/fuerzas
Ponyo,2008,0:17:22,10,"Sosuke asume que Ponyo murió después de dejarla sola por un momento, lo que lo lleva a la culpabilidad",Sosuke,Protagonista,Infante,Masculino,Desarrollo,Dolor psicológico,Miedo,No aplica,El mismo
Ponyo,2008,0:18:09,12,"Ponyo dispara agua desde su boca al vestido nuevo de Kumik o, después de decir que Ponyo era fea y gorda",Kumiko,Incidental,Infante,Femenino ,Desarrollo,Conflicto,Tristeza,Ignorado,Conocidos
Ponyo,2008,0:23:26,9,"Después de que Fujimoto recuperara a Ponyo, Sosuke se desespera y pensa que no recuperará a su nueva amiga ",Sosuke,Protagonista,Infante,Masculino,Desarrollo,Pérdida,Preocupación,Confort físico,Extraños
Ponyo,2008,1:18:44,29,"El bebé junior llora por razones desconocidas, a lo que Ponyo le ayuda corriendo sobre el agua en dirección a su bote
 y frota su cara junto a la del bebé, lo cual hace que este pare de llorar ",Junior,Incidental,Infante,Masculino,Desarrollo,Dolor psicológico,Tristeza,Confort físico,Extraños
Ponyo,2008,1:25:06,41,"Sosuke encuentra el auto de Lisa camino al hogar del ancianos, pero al llamarla desesperadamente sin poder
 encontrarla, el chico rompe en llanto",Sosuke,Protagonista,Infante,Masculino,Desarrollo,Dolor psicológico,Preocupación,Comprensión,Destino/fuerzas
El viento se levanta,2013,1:11:13,4,Introducción del personaje propiamente tal. Ella le reza al río para que Jiro aparezca,Nahoko Satomi ,Protagonista,Adulto,Femenino,Desarrollo ,Evento positivo,Felicidad,Palabras de apoyo,El mismo
El viento se levanta,2013,1:24:50,6,Padre de Nahoko llorando por su compromiso a Jiro,Padre de Nahoko,Secundario,Adulto,Masculino,Desarrollo ,Evento positivo,Felicidad,Palabras de apoyo,Familiar/pariente
El viento se levanta,2013,1:29:40,2,Kurokawa se burla que Jiro este comprometido,Kurokawa,Secundario,Adulto,Masculino,Desarrollo ,Evento positivo,Humor,Ignorado,Amigo cercano
El viento se levanta,2013,1:31:48,2,Jiro descubre que Nahoko tuvo una hemorragia. Muchas lágrimas!!,Jiro,Protagonista,Adulto,Masculino,Desarrollo ,Dolor psicológico,Tristeza,No aplica,Familiar/pariente
El viento se levanta,2013,1:32:17,10,Trayecto de Jiro a Tokio,Jiro,Protagonista,Adulto,Masculino,Desarrollo ,Dolor psicológico,Tristeza,No aplica,Familiar/pariente
El viento se levanta,2013,1:33:55,2,Nahoko encontrandose con Jiro,Nahoko Satomi ,Protagonista,Adulto,Femenino,Desarrollo ,Dolor psicológico/Dolor físico,Tristeza,Palabras de apoyo,Familiar/pariente
El viento se levanta,2013,1:45:52,2,Nahoko llora al finalmente casarse con Jiro,Nahoko Satomi ,Protagonista,Adulto,Femenino,Desarrollo ,Evento positivo,Gratitud,Palabras de apoyo,Amigo cercano
El viento se levanta,2013,1:48:08,4,Kayo llorando por la manera en la que Jiro deja sola a Nahoko ,Kayo,Secundario,Adulto,Femenino,Desarrollo ,Dolor psicológico,Frustración ,No sabe como comportar,Familiar/pariente
El viento se levanta,2013,1:57:06,6,Kayo llorando tras la partida de Nahoko,Kayo,Secundario,Adulto,Femenino,Climax,Pérdida,Duelo,No aplica,Familiar/pariente
El niño y la garza,2023,0:12:40,23,Mahito llora por un pesadilla que recrea la muerte de su madre,Mahito,Protagonista,Joven,Masculino ,Inicio,Pérdida,Tristeza,No aplica,Destino/fuerzas
El niño y la garza,2023,0:34:41,3,"Natsuko llora porque lastimaron a Mahito, el hijo de su hermana",Natsuko,Secundario,Adulto,Femenino,Desarrollo,Decepción personal,Tristeza,Palabras de apoyo,Familiar/pariente
El niño y la garza,2023,0:40:50,10,Mahito llora leyendo un libro que le dejo su madre,Mahito,Protagonista,Joven,Masculino ,Desarrollo,Dolor psicológico,Tristeza,No aplica,Familiar/pariente
El niño y la garza,2023,0:46:12,6,Mahito llora al encontrar el cuerpo desmayado de su madre en la guarida de la garza,Mahito,Protagonista,Joven,Masculino ,Desarrollo,Evento positivo,Asombro,Ignorado,Familiar/pariente
El niño y la garza,2023,1:07:53,3,Kiriko llora por la asunción de los warawara,Kiriko,Secundario,Adulto,Femenino,Desarrollo,Evento positivo,Felicidad,Ignorado,Destino/fuerzas
El niño y la garza,2023,1:45:41,3,Asombrados por llegar al paraíso,Periquitos,Secundario,Adulto,Masculino ,Desarrollo,Evento positivo,Asombro,Ignorado,Destino/fuerzas
El niño y la garza,2023,1:49:53,6,Reencuentro con Mahito,Himi,Protagonista,Joven,Femenino,Climax,Evento positivo,Cariño,Confort físico,Familiar/pariente
El niño y la garza,2023,1:54:42,3,La perdida de su tío abuelo,Himi,Protagonista,Joven,Femenino,Climax,Pérdida,Tristeza,Confort físico,Familiar/pariente